FCL code,FCL label,HS code,If partial,Irrigated_Crops,Match,,,HS6
665,Cocoa Powder and Cake,180500,*,,,,,
249,Coconuts,80119,*,,,,,
250,"Coconuts, Desiccated",80111,*,,,,,
1187,"Cocoons Unreelable, Waste",500300,*,,,,,
1185,"Cocoons, reelable",500100,*,,,,,
659,Coffee Extracts,210111,*,,,,,
659,Coffee Extracts,210112,*,,,,,
659,Coffee Extracts,210130,*,,,,,
656,Coffee green,90111,*,,,,,
660,Coffee Husks and Skins,90190,*,,,,,
658,Coffee Substitutes,90190,*,,,,,
657,"Coffee, Roasted",90122,*,,,,,
657,"Coffee, Roasted",90112,*,,,,,
657,"Coffee, Roasted",90121,*,,,,,
813,Coir,530500,*,,,,,
2455004,Combine harvesters - threshers,843351,*,,,,,
845,Compound Feed nes,230990,*,,,,,
840,"Compound Feed, Cattle",230990,*,,,,,
842,"Compound Feed, Pigs",230990,*,,,,,
841,"Compound Feed, Poultry",230990,*,,,,,
251,Copra,120300,*,,,,,
767,Cotton Lint,520100,*,,,,,
770,Cotton Linters,140420,*,,,,,
769,Cotton Waste,520210,*,,,,,
769,Cotton Waste,520291,*,,,,,
769,Cotton Waste,520299,*,,,,,
768,"Cotton, Carded or Combed",520300,*,,,,,
329,Cottonseed,120720,*,,,,,
882,"Cow milk, whole (fresh)",40120,*,,,,,
882,"Cow milk, whole (fresh)",40130,*,,,,,
195,"Cow peas, dry",71339,*,,,,,
554,Cranberries,81040,*,,,,,
885,"Cream, Fresh",40120,*,,,,,
885,"Cream, Fresh",40130,*,,,,,
1293,Crude Organic Materials nes,60314,*,,,,,
1293,Crude Organic Materials nes,60319,*,,,,,
1293,Crude Organic Materials nes,60390,*,,,,,
1293,Crude Organic Materials nes,60410,*,,,,,
1293,Crude Organic Materials nes,60491,*,,,,,
1293,Crude Organic Materials nes,60499,*,,,,,
1293,Crude Organic Materials nes,140490,*,,,,,
1293,Crude Organic Materials nes,121120,*,,,,,
1293,Crude Organic Materials nes,121130,*,,,,,
1293,Crude Organic Materials nes,121140,*,,,,,
1293,Crude Organic Materials nes,121190,*,,,,,
1293,Crude Organic Materials nes,121220,*,,,,,
1293,Crude Organic Materials nes,130211,*,,,,,
1293,Crude Organic Materials nes,130212,*,,,,,
1293,Crude Organic Materials nes,130213,*,,,,,
1293,Crude Organic Materials nes,130219,*,,,,,
1293,Crude Organic Materials nes,130220,*,,,,,
1293,Crude Organic Materials nes,130231,*,,,,,
1293,Crude Organic Materials nes,130232,*,,,,,
1293,Crude Organic Materials nes,130239,*,,,,,
1293,Crude Organic Materials nes,140110,*,,,,,
1293,Crude Organic Materials nes,60313,*,,,,,
1293,Crude Organic Materials nes,60312,*,,,,,
1293,Crude Organic Materials nes,51199,*,,,,,
1293,Crude Organic Materials nes,60290,*,,,,,
1293,Crude Organic Materials nes,50100,*,,,,,
1293,Crude Organic Materials nes,50210,*,,,,,
1293,Crude Organic Materials nes,50290,*,,,,,
1293,Crude Organic Materials nes,50400,*,,,,,
1293,Crude Organic Materials nes,50510,*,,,,,
1293,Crude Organic Materials nes,60311,*,,,,,
1293,Crude Organic Materials nes,50610,*,,,,,
1293,Crude Organic Materials nes,50690,*,,,,,
1293,Crude Organic Materials nes,50710,*,,,,,
1293,Crude Organic Materials nes,50790,*,,,,,
1293,Crude Organic Materials nes,50590,*,,,,,
1293,Crude Organic Materials nes,51000,*,,,,,
1293,Crude Organic Materials nes,51110,*,,,,,
1293,Crude Organic Materials nes,51191,*,,,,,
1293,Crude Organic Materials nes,60110,*,,,,,
1293,Crude Organic Materials nes,60120,*,,,,,
1293,Crude Organic Materials nes,60210,*,,,,,
1293,Crude Organic Materials nes,60220,*,,,,,
1293,Crude Organic Materials nes,60230,*,,,,,
1293,Crude Organic Materials nes,60240,*,,,,,
1293,Crude Organic Materials nes,50800,*,,,,,
397,Cucumbers and gherkins,70700,*,,,,,
550,Currants,81090,*,,,,,
577,Dates,80410,*,,,,,
1427,"DDT, Hexachlorobenzene (Trade)",290362,*,,,,,
1222,Degras,152200,*,,,,,
310530,Diammonium phosphate (DAP),310530,*,,,,,
1433,Dieldrin (Trade),291040,*,,,,,
1434,Dinoseb acetate (Trade),291536,*,,,,,
1430,Dinoseb and dinoseb salts (Trade),290891,*,,,,,
1446,"Disinfectants, etc (excl. Haz. pest.) (Trade)",380894,*,,,,,
1446,"Disinfectants, etc (excl. Haz. pest.) (Trade)",380899,*,,,,,
1419,"Disinfectants,etc (Trade)",380894,*,,,,,
1419,"Disinfectants,etc (Trade)",380899,*,,,,,
1431,DNOC and its salts (excl. 290811-290891) (Trade),290899,*,,,,,
450,Dried Mushrooms,71239,*,,,,,
450,Dried Mushrooms,71233,*,,,,,
450,Dried Mushrooms,71231,*,,,,,
450,Dried Mushrooms,71232,*,,,,,
899,Dry Buttermilk,40390,*,,,,,
898,Dry Skim Cow Milk,40210,*,,,,,
900,Dry Whey,40410,*,,,,,
897,Dry Whole Cow Milk,40221,*,,,,,
897,Dry Whole Cow Milk,40229,*,,,,,
1069,Duck meat,20735,*,,,,,
1069,Duck meat,20732,*,,,,,
1069,Duck meat,20733,*,,,,,
1069,Duck meat,20736,*,,,,,
1068,Ducks,10519,*,,,,,
1068,Ducks,10599,*,,,,,
916,Egg Albumin,350211,*,,,,,
916,Egg Albumin,350219,*,,,,,
399,Eggplants,70930,*,,,,,
1064,"Eggs, Dried",40891,*,,,,,
1064,"Eggs, Dried",40811,*,,,,,
1091,"Eggs, excluding hen eggs",40700,*,,,,,
1092,"Eggs, excluding hen eggs (number)",40700,*,,,,,
1063,"Eggs, Liquid",40819,*,,,,,
1063,"Eggs, Liquid",40899,*,,,,,
753,Essential oils nes,330190,*,,,,,
753,Essential oils nes,330130,*,,,,,
753,Essential oils nes,330129,*,,,,,
753,Essential oils nes,330125,*,,,,,
753,Essential oils nes,330112,*,,,,,
753,Essential oils nes,330119,*,,,,,
753,Essential oils nes,330113,*,,,,,
753,Essential oils nes,330124,*,,,,,
1424,"Ethylene dibromide (1,2-dibromoethane) (Trade)",290331,*,,,,,
1423,Ethylene dichloride (Trade),290315,*,,,,,
672,Extracts of Tea and Mate,210120,*,,,,,
949,Fat of buffalo,150200,*,,,,,
1129,Fat of camels,150600,*,,,,,
869,Fat of cattle,150200,*,,,,,
1019,Fat of goats,150200,*,,,,,
1160,Fat of other camelids,150600,*,,,,,
1037,Fat of pigs,20900,*,,,,,
1065,Fat of poultry,20900,*,,,,,
1066,"Fat of Poultry, Rendered",150100,*,,,,,
979,Fat of sheep,150200,*,,,,,
1243,Fat Preparations nes,151790,*,,,,,
1243,Fat Preparations nes,151620,*,,,,,
1243,Fat Preparations nes,151610,*,,,,,
1276,Fatty Acids,382311,*,,,,,
1276,Fatty Acids,382312,*,,,,,
1276,Fatty Acids,382313,*,,,,,
1276,Fatty Acids,382319,*,,,,,
1060,Fatty Liver Preparations,160220,*,,,,,
854,Feed Additives,230990,*,,,,,
855,Feed Minerals,230990,*,,,,,
850,Feed Supplements,230990,*,,,,,
849,Feed Yeast,230990,*,,,,,
1397,"Fertilizers Manufactured, nes",310590,*,,,,,
1397,"Fertilizers Manufactured, nes",310560,*,,,,,
1397,"Fertilizers Manufactured, nes",310559,*,,,,,
1397,"Fertilizers Manufactured, nes",310551,*,,,,,
1397,"Fertilizers Manufactured, nes",310530,*,,,,,
1397,"Fertilizers Manufactured, nes",310520,*,,,,,
1397,"Fertilizers Manufactured, nes",310510,*,,,,,
1397,"Fertilizers Manufactured, nes",310540,*,,,,,
1401,"Fertilizers, Organic",310100,*,,,,,
821,Fibre crops nes,530500,*,,,,,
569,Figs,80420,*,,,,,
570,"Figs, Dried",80420,*,,,,,
1030,Fine goat hair,510211,*,,,,,
1030,Fine goat hair,510219,*,,,,,
1174,Fish Meal,230120,*,,,,,
773,Flax fibre and tow,530121,*,,,,,
773,Flax fibre and tow,530129,*,,,,,
774,Flax tow and waste,530130,*,,,,,
771,"Flax, raw or retted",530110,*,,,,,
90,Flour of Buckwheat,110320,*,,,,,
90,Flour of Buckwheat,110319,*,,,,,
90,Flour of Buckwheat,110290,*,,,,,
126,Flour of Cassava,110620,*,,,,,
111,Flour of Cereals nes,110290,*,,,,,
111,Flour of Cereals nes,110319,*,,,,,
111,Flour of Cereals nes,110320,*,,,,,
95,Flour of Fonio,110290,*,,,,,
95,Flour of Fonio,110319,*,,,,,
95,Flour of Fonio,110320,*,,,,,
624,Flour of Fruits,110630,*,,,,,
58,Flour of Maize,110220,*,,,,,
58,Flour of Maize,110313,*,,,,,
58,Flour of Maize,110320,*,,,,,
80,Flour of Millet,110290,*,,,,,
80,Flour of Millet,110319,*,,,,,
80,Flour of Millet,110320,*,,,,,
104,Flour of Mixed Grain,110290,*,,,,,
104,Flour of Mixed Grain,110319,*,,,,,
