"FCL code","FCL label","HS code","If partial"
"0491","Juice of Orange","200912","*"
"0491","Juice of Orange","200911","*"
"0492","Orange Juice, Concentrated","200911","*"
"0492","Orange Juice, Concentrated","200919","*"
"0495","Tangerines, mandarins, clementines, satsumas","080520","*"
"0496","Juice of Tangerine, Mandarin and Clementin","200931","*"
"0497","Lemons and limes","080550","*"
"0498","Juice of Lemon","200931","*"
"0499","Lemon Juice, Concentrated","200939","*"
"0507","Grapefruit and pomelo","080540","*"
"0509","Juice of Grapefruit","200921","*"
"0510","Grapefruit Juice, Concentrated","200929","*"
"0512","Citrus fruit nes","080590","*"
"0513","Juice of Citrus Fruit nes","200931","*"
"0514","Citrus Juice, Concentrated nes","200939","*"
"0515","Apples","080810","*"
"0517","Cider, etc.","220600","*"
"0518","Apple Juice","200971","*"
"0519","Apple Juice, Concentrated","200979","*"
"0521","Pears","080820","*"
"0523","Quinces","080820","*"
"0526","Apricots","080910","*"
"0527","Apricots, Dried","081310","*"
"0530","Sour cherries","080920","*"
"0531","Cherries","080920","*"
"0534","Peaches and nectarines","080930","*"
"0536","Plums","080940","*"
"0537","Plums, dried","081320","*"
"0538","Juice of plum","200980","*"
"0539","Juice of plum, concentrated","200980","*"
"0541","Stone fruit, fresh nes","081090","*"
"0542","Pome fruit nes","081090","*"
"0544","Strawberries","081010","*"
"0547","Raspberries","081020","*"
"0549","Gooseberries","081090","*"
"0550","Currants","081090","*"
"0552","Blueberries","081040","*"
"0554","Cranberries","081040","*"
"0558","Berries nes","081020","*"
"0558","Berries nes","081040","*"
"0560","Grapes","080610","*"
"0561","Raisins","080620","*"
"0562","Juice of Grape","200969","*"
"0562","Juice of Grape","200961","*"
"0563","Must of Grape","220421","*"
"0563","Must of Grape","220429","*"
"0563","Must of Grape","220430","*"
"0564","Wine","220410","*"
"0564","Wine","220421","*"
"0564","Wine","220429","*"
"0565","Vermouths, etc.","220510","*"
"0565","Vermouths, etc.","220590","*"
"0566","Marc of Grape","230800","*"
"0567","Watermelons","080711","*"
"0568","Melons, Cantaloupes","080719","*"
"0569","Figs","080420","*"
"0570","Figs, Dried","080420","*"
"0571","Mangoes","080450","*"
"0572","Avocados","080440","*"
"0574","Pineapples","080430","*"
"0575","Pineapples, Canned","200820","*"
"0576","Juice of Pineapples","200941","*"
"0577","Dates","080410","*"
"0580","Juice of Pineapples, Concentrated","200949","*"
"0583","Juice of Mango","200980","*"
"0584","Mango Pulp","200899","*"
"0587","Persimmons","081090","*"
"0591","Cashewapple","081090","*"
"0592","Kiwi fruit","081050","*"
"0600","Papayas","080720","*"
"0603","Fruit, tropical (fresh) nes","081090","*"
"0603","Fruit, tropical (fresh) nes","081060","*"
"0603","Fruit, tropical (fresh) nes","080450","*"
"0604","Fruit, tropical (Dried) nes","080300","*"
"0604","Fruit, tropical (Dried) nes","080430","*"
"0604","Fruit, tropical (Dried) nes","080440","*"
"0604","Fruit, tropical (Dried) nes","080450","*"
"0604","Fruit, tropical (Dried) nes","081340","*"
"0604","Fruit, tropical (Dried) nes","081350","*"
"0619","Fruit, fresh nes","081090","*"
"0620","Fruit, dried nes","081340","*"
"0620","Fruit, dried nes","081350","*"
"0620","Fruit, dried nes","081330","*"
"0622","Juice of fruits nes","200980","*"
"0622","Juice of fruits nes","200990","*"
"0623","Fruit, prepared nes","200892","*"
"0623","Fruit, prepared nes","200891","*"
"0623","Fruit, prepared nes","200880","*"
"0623","Fruit, prepared nes","200870","*"
"0623","Fruit, prepared nes","200860","*"
"0623","Fruit, prepared nes","200850","*"
"0623","Fruit, prepared nes","200840","*"
"0623","Fruit, prepared nes","200830","*"
"0623","Fruit, prepared nes","200791","*"
"0623","Fruit, prepared nes","200190","*"
"0623","Fruit, prepared nes","081400","*"
"0623","Fruit, prepared nes","081290","*"
"0623","Fruit, prepared nes","081210","*"
"0623","Fruit, prepared nes","081190","*"
