Country_num,Country_iso,Year,Temperature
C674,SMR,1902,11.1283333333333
C706,SOM,1902,26.6683333333333
C688,SRB,1902,9.55
C728,SSD,1902,27.1725
C678,STP,1902,23.7916666666667
C740,SUR,1902,26.6516666666667
C703,SVK,1902,6.52166666666667
C705,SVN,1902,7.74583333333333
C752,SWE,1902,0.236666666666667
C748,SWZ,1902,19.3775
C690,SYC,1902,25.6958333333333
C760,SYR,1902,17.4366666666667
C796,TCA,1902,25.2
C148,TCD,1902,26.9141666666667
C768,TGO,1902,26.8408333333333
C764,THA,1902,26.5075
C762,TJK,1902,3.11083333333333
C772,TKL,1902,27.7666666666667
C795,TKM,1902,15.9025
C626,TLS,1902,24.6658333333333
C776,TON,1902,24.1916666666667
C780,TTO,1902,25.6525
C788,TUN,1902,19.175
C792,TUR,1902,10.4233333333333
C798,TUV,1902,27.9866666666667
C834,TZA,1902,22.5
C800,UGA,1902,22.6808333333333
C804,UKR,1902,7.005
C858,URY,1902,17.4183333333333
C840,USA,1902,8.33
C860,UZB,1902,13.0133333333333
C670,VCT,1902,25.1583333333333
C862,VEN,1902,24.6941666666667
C092,VGB,1902,25.275
C850,VIR,1902,25.7083333333333
C704,VNM,1902,24.3458333333333
C548,VUT,1902,24.0216666666667
C876,WLF,1902,26.5583333333333
C882,WSM,1902,26.4441666666667
C887,YEM,1902,25.0925
C710,ZAF,1902,16.775
C894,ZMB,1902,21.785
C716,ZWE,1902,21.4125
C533,ABW,1903,27.8833333333333
C004,AFG,1903,11.7191666666667
C024,AGO,1903,21.3766666666667
C660,AIA,1903,26.4666666666667
C008,ALB,1903,11.6133333333333
C020,AND,1903,6.46
C784,ARE,1903,26.3983333333333
C032,ARG,1903,14.5208333333333
C051,ARM,1903,6.84166666666667
C016,ASM,1903,25.95
C028,ATG,1903,25.975
C036,AUS,1903,21.2133333333333
C040,AUT,1903,5.84833333333333
C031,AZE,1903,12.2716666666667
C108,BDI,1903,20.1275
C056,BEL,1903,9.3675
C204,BEN,1903,27.5858333333333
C854,BFA,1903,28.7175
C050,BGD,1903,25.205
C100,BGR,1903,10.6616666666667
C048,BHR,1903,25.4633333333333
C044,BHS,1903,23.7791666666667
C070,BIH,1903,9.1625
C112,BLR,1903,7.165
C084,BLZ,1903,25.1266666666667
C060,BMU,1903,21.325
C068,BOL,1903,20.7375
C076,BRA,1903,24.8708333333333
C052,BRB,1903,25.7675
C096,BRN,1903,26.5783333333333
C064,BTN,1903,9.7425
C072,BWA,1903,21.2741666666667
C140,CAF,1903,25.0116666666667
C124,CAN,1903,-5.59416666666667
C166,CCK,1903,26.4333333333333
C756,CHE,1903,4.835
C152,CHL,1903,9.14083333333333
C156,CHN,1903,6.50583333333333
C384,CIV,1903,26.4683333333333
C120,CMR,1903,24.4883333333333
C180,COD,1903,24.0458333333333
C178,COG,1903,24.4275
C184,COK,1903,23.9583333333333
C170,COL,1903,24.4191666666667
C174,COM,1903,22.8983333333333
C132,CPV,1903,23.0566666666667
C188,CRI,1903,24.2791666666667
C192,CUB,1903,24.57
C162,CXR,1903,24.9833333333333
C136,CYM,1903,26.7916666666667
C196,CYP,1903,16.6408333333333
C203,CZE,1903,7.34666666666667
C276,DEU,1903,8.40166666666667
C262,DJI,1903,28.1841666666667
C212,DMA,1903,25.745
C208,DNK,1903,7.64666666666667
C214,DOM,1903,23.4008333333333
C012,DZA,1903,22.7058333333333
C218,ECU,1903,21.1066666666667
C818,EGY,1903,21.0725
C232,ERI,1903,25.7291666666667
C732,ESH,1903,23.0875
C724,ESP,1903,12.4483333333333
C233,EST,1903,5.77916666666667
C231,ETH,1903,22.9508333333333
C246,FIN,1903,1.60833333333333
C242,FJI,1903,24.345
C238,FLK,1903,6.26083333333333
C250,FRA,1903,10.0383333333333
C234,FRO,1903,4.98916666666667
C583,FSM,1903,26.5333333333333
C266,GAB,1903,24.8525
C826,GBR,1903,8.065
C268,GEO,1903,8.10833333333333
C288,GHA,1903,27.2266666666667
C292,GIB,1903,16.9166666666667
C324,GIN,1903,25.525
C312,GLP,1903,24.9108333333333
C270,GMB,1903,27.8658333333333
C624,GNB,1903,27.5908333333333
C226,GNQ,1903,24.3508333333333
C300,GRC,1903,13.3208333333333
C308,GRD,1903,25.525
C304,GRL,1903,-20.1925
C320,GTM,1903,23.0883333333333
C254,GUF,1903,26.4625
C316,GUM,1903,27.4616666666667
C328,GUY,1903,25.9525
C340,HND,1903,24.1366666666667
C191,HRV,1903,10.3866666666667
C332,HTI,1903,23.8316666666667
C348,HUN,1903,10.3658333333333
C360,IDN,1903,25.3766666666667
C356,IND,1903,23.9575
C086,IOT,1903,27.4333333333333
C372,IRL,1903,8.8075
C364,IRN,1903,16.585
C368,IRQ,1903,21.195
C352,ISL,1903,0.1175
C376,ISR,1903,17.2
C380,ITA,1903,11.8133333333333
C388,JAM,1903,24.7533333333333
C400,JOR,1903,16.6708333333333
C392,JPN,1903,10.19
C398,KAZ,1903,4.98333333333333
C404,KEN,1903,24.5058333333333
C417,KGZ,1903,-0.0991666666666664
C116,KHM,1903,26.59
C296,KIR,1903,27.495
C659,KNA,1903,26.2
C410,KOR,1903,10.8425
C414,KWT,1903,24.185
C418,LAO,1903,23.3716666666667
C422,LBN,1903,12.6366666666667
C430,LBR,1903,25.41
C434,LBY,1903,21.755
C662,LCA,1903,26.065
C438,LIE,1903,5.9625
C144,LKA,1903,26.3883333333333
C426,LSO,1903,10.6208333333333
C440,LTU,1903,6.94
C442,LUX,1903,8.535
C428,LVA,1903,6.42833333333333
C446,MAC,1903,21.6333333333333
C504,MAR,1903,17.055
C492,MCO,1903,11.875
C498,MDA,1903,10.3333333333333
C450,MDG,1903,22.7533333333333
C462,MDV,1903,27.625
C484,MEX,1903,19.7333333333333
C584,MHL,1903,27.4
C807,MKD,1903,10.0275
C466,MLI,1903,28.6433333333333
C470,MLT,1903,17.9525
C104,MMR,1903,23.3058333333333
C499,MNE,1903,8.905
C496,MNG,1903,-0.79
C580,MNP,1903,27.3083333333333
C508,MOZ,1903,23.9691666666667
C478,MRT,1903,28.0591666666667
C500,MSR,1903,24.5
C474,MTQ,1903,25.4091666666667
C480,MUS,1903,22.6691666666667
C454,MWI,1903,22.23
