iso_o,iso_o_num,iso_d,iso_d_num,contig,dist,distcap
FLK,C238,AFG,C004,0,15447.96,15447.96
AGO,C024,AFG,C004,0,7607.8,7607.8
PER,C604,AFG,C004,0,15811.19,15811.19
MLI,C466,AFG,C004,0,8056.615,8056.615
DMA,C212,AFG,C004,0,12416.77,12416.77
GBR,C826,AFG,C004,0,5718.078,5718.078
LCA,C662,AFG,C004,0,12492.83,12492.83
QAT,C634,AFG,C004,0,1987.925,1987.925
VUT,C548,AFG,C004,0,11938.98,11938.98
IND,C356,AFG,C004,0,1003.893,1003.893
SWE,C752,AFG,C004,0,4597.182,4597.182
SEN,C686,AFG,C004,0,8799.582,8799.582
TTO,C780,AFG,C004,0,12807,12807
CYP,C196,AFG,C004,0,3257.972,3257.972
BEL,C056,AFG,C004,0,5416.121,5416.121
JAM,C388,AFG,C004,0,13173.26,13173.26
GMB,C270,AFG,C004,0,8798.221,8798.221
NAM,C516,AFG,C004,0,8405.997,8405.997
AUT,C040,AFG,C004,0,4568.098,4568.098
PCN,C612,AFG,C004,0,17900.4,17900.4
MDG,C450,AFG,C004,0,6370.142,6370.142
ECU,C218,AFG,C004,0,14950.6,14950.6
HUN,C348,AFG,C004,0,4367.694,4367.694
SOM,C706,AFG,C004,0,4380.182,4380.182
PLW,C585,AFG,C004,0,7294.72,7294.72
ISR,C376,AFG,C004,0,3199.193,3199.193
ARG,C032,AFG,C004,0,15298.5,15298.5
PRK,C408,AFG,C004,0,4989.095,4989.095
EST,C233,AFG,C004,0,4238.918,4238.918
CHN,C156,AFG,C004,1,4180.438,4180.438
MAC,C446,AFG,C004,0,4512.573,4512.573
NGA,C566,AFG,C004,0,7391.676,6883.021
LVA,C428,AFG,C004,0,4186.274,4186.274
MTQ,C474,AFG,C004,0,12452.47,12452.47
BDI,C108,AFG,C004,0,5930.057,5930.057
PAL,,AFG,C004,0,3244.844,3244.844
NPL,C524,AFG,C004,0,1710.066,1710.066
NFK,C574,AFG,C004,0,12536.67,12536.67
MNP,C580,AFG,C004,0,7848.57,7848.57
SYR,C760,AFG,C004,0,3022.602,3022.602
MWI,C454,AFG,C004,0,6565.831,6565.831
SWZ,C748,AFG,C004,0,7872.171,7872.171
DZA,C012,AFG,C004,0,5866.736,5866.736
UKR,C804,AFG,C004,0,3580.626,3580.626
STP,C678,AFG,C004,0,7512.917,7512.917
CYM,C136,AFG,C004,0,13283.3,13283.3
MSR,C500,AFG,C004,0,12360.26,12360.26
BHS,C044,AFG,C004,0,12518.58,12518.58
MKD,C807,AFG,C004,0,4198.337,4198.337
ESH,C732,AFG,C004,0,7696.608,7696.608
CHL,C152,AFG,C004,0,16353.9,16353.9
YUG,,AFG,C004,0,4258.76,4258.76
