Country_num,ISO,Country,Irrigated_Crops,Year,Month,Area,Crop_Area
C008,ALB,Albania,Maize,2006,01,28.5,0
C008,ALB,Albania,Vegetables,2006,01,19.5,0
C008,ALB,Albania,Wheat,2006,01,3.1,3.019382488
C008,ALB,Albania,AAIfull,2006,01,102.67,24.73945651
C008,ALB,Albania,Cropping_Intensity,2006,01,99.9318204,99.9318204
C008,ALB,Albania,AEIfull,2006,01,188.45,188.45
C008,ALB,Albania,AHIfull,2006,01,102.6,0
C008,ALB,Albania,Actually_Irrigated,2006,01,54.48129477,54.48129477
C008,ALB,Albania,AEItot,2006,01,340,340
C008,ALB,Albania,Other cereals,2006,02,4.2,0
C008,ALB,Albania,Vegetables,2006,02,19.5,0
C008,ALB,Albania,Fruits,2006,02,8.3,8.084153112
C008,ALB,Albania,Rapeseed,2006,02,9,0
C008,ALB,Albania,Potatoes,2006,02,2.9,0
C008,ALB,Albania,Pulses,2006,02,13.1,0
C008,ALB,Albania,Wheat,2006,02,3.1,3.019382488
C008,ALB,Albania,Maize,2006,02,28.5,0
C008,ALB,Albania,AEIfull,2006,02,188.45,188.45
C008,ALB,Albania,AAIfull,2006,02,102.67,24.73945651
C008,ALB,Albania,Cropping_Intensity,2006,02,99.9318204,99.9318204
C008,ALB,Albania,Fodder temporary,2006,02,14,13.63592091
C008,ALB,Albania,AHIfull,2006,02,102.6,0
C008,ALB,Albania,Actually_Irrigated,2006,02,54.48129477,54.48129477
C008,ALB,Albania,AEItot,2006,02,340,340
C008,ALB,Albania,Rapeseed,2006,03,9,0
C008,ALB,Albania,Potatoes,2006,03,2.9,0
C008,ALB,Albania,Fruits,2006,03,8.3,8.084153112
C008,ALB,Albania,Vegetables,2006,03,19.5,0
C008,ALB,Albania,Other cereals,2006,03,4.2,0
C008,ALB,Albania,Wheat,2006,03,3.1,3.019382488
C008,ALB,Albania,Maize,2006,03,28.5,0
C008,ALB,Albania,Fodder temporary,2006,03,14,13.63592091
C008,ALB,Albania,Pulses,2006,03,13.1,0
C008,ALB,Albania,AHIfull,2006,03,102.6,0
C008,ALB,Albania,AAIfull,2006,03,102.67,24.73945651
C008,ALB,Albania,Cropping_Intensity,2006,03,99.9318204,99.9318204
