Country_num,Year,Agric_Water_Withdrawal,Agric_Water_Withdrawal_Share_of_Total,Water_Dependency_Ratio,Irrigation_Water_Withdrawal,Livestock_Water_Withdrawal
C678,2019,0.0256,62.5916870416,0,0.0224,0.0032
C682,2017,19.2,82.2269807281,0,0,0
C682,2018,21.2,81.5635580179,0,0,0
C682,2019,21.2,81.5635580179,0,0,0
C686,2017,2.2036655,88.976257366,33.7952270978,2.15238,0.050933545
C686,2018,2.7586822,91.1148414671,33.7952270978,2.70611,0.052170272
C686,2019,2.7586822,91.3138942488,33.7952270978,2.70611,0.051860992
C688,2017,0.6608,12.2884665452,0,0.0753,0.0283
C688,2018,0.7123,12.8169140801,0,0.0545,0.0277
C688,2019,0.7091,12.6205816396,0,0.0676,0.0354
C690,2017,9e-04,6.5693430657,0,0,0
C690,2018,9e-04,6.5693430657,0,0,0
C690,2019,9e-04,6.5693430657,0,0,0
C694,2017,0.0457,21.5362865221,0,0.0457,0
C694,2018,0.0457,21.5362865221,0,0.0457,0
C694,2019,0.0457,21.5362865221,0,0.0457,0
C702,2017,0.026376,4,0,0,0
C702,2018,0.026264,4,0,0,0
C702,2019,0.026544,4,0,0,0
C703,2017,0.0316,5.6803882797,74.8502994012,0.0224,0.062
C703,2018,0.0811,13.2516339869,74.8502994012,0.0161,0.062
C703,2019,0.0811,13.2516339869,74.8502994012,0.0161,0.062
C704,2017,77.75,94.7823966841,59.347147446,0,0
C704,2018,77.75,94.7823966841,59.347147446,0,0
C704,2019,77.75,94.7823966841,59.347147446,0,0
C705,2017,0.0039,0.4187245008,41.4182616881,0.003898,0
C705,2018,0.003,0.3121748179,41.4182616881,0.003119,0
C705,2019,0.003,0.3177966102,41.4182616881,0.003247,0
C706,2017,3.281,99.4845360825,59.1836734694,0,0
C706,2018,3.281,99.4845360825,59.1836734694,0,0
C706,2019,3.281,99.4845360825,59.1836734694,0,0
C710,2017,11.39,58.7719298246,12.8404669261,11.29,0.054
C710,2018,11.496,57.9143576826,12.8404669261,11.397,0.055
C710,2019,11.496,57.9143576826,12.8404669261,11.397,0.056
C716,2017,2.77,82.9564852805,38.7,2.662,0.0921
C716,2018,3.04107,80.6354703053,38.7,2.93312,0.09205
C716,2019,3.04107,80.6354703053,38.7,2.93312,0.09205
C724,2017,19.809,65.823752243,0.269058296,18.109,0
C724,2018,19.254,65.3364552581,0.269058296,17.574,0
C724,2019,19.254,65.3364552581,0.269058296,17.574,0
C728,2017,0.24,36.4741641337,65.7894736842,0,0
C728,2018,0.24,36.4741641337,65.7894736842,0,0
